mode,scaling_factor,runs,masked_identical,masked_semantic,sdc,sdc_rate,wilson95_low,wilson95_high,mean_recall,clean_correct,clean_total,fault_detection_rate,mean_fault_corrections,mean_clean_corrections
no_protection,,400,316,54,30,0.0750000000,0.0530377439,0.1050477063,0.9250000000,10,10,0.0000000000,0.000000,0.000000
first_token_s1p00,1.00,400,389,11,0,0.0000000000,0.0000000000,0.0095122943,1.0000000000,10,10,0.1600000000,3159.570000,3017.800000
first_token_s1p25,1.25,400,389,11,0,0.0000000000,0.0000000000,0.0095122943,1.0000000000,10,10,0.1650000000,2040.372500,1905.100000
first_token_s1p50,1.50,400,384,16,0,0.0000000000,0.0000000000,0.0095122943,1.0000000000,10,10,0.1600000000,1550.910000,1431.300000
first_token_s1p75,1.75,400,377,22,1,0.0025000000,0.0004414478,0.0140232851,0.9975000000,10,10,0.1600000000,1170.462500,1065.500000
first_token_s2p00,2.00,400,363,36,1,0.0025000000,0.0004414478,0.0140232851,0.9975000000,10,10,0.1575000000,938.725000,841.100000
first_token_s2p25,2.25,400,339,60,1,0.0025000000,0.0004414478,0.0140232851,0.9975000000,10,10,0.1550000000,769.360000,659.900000
first_token_s2p50,2.50,400,351,49,0,0.0000000000,0.0000000000,0.0095122943,1.0000000000,10,10,0.1525000000,644.752500,542.200000
