mode,omitted_projection,runs,masked_identical,masked_semantic,sdc,sdc_rate,wilson95_low,wilson95_high,clean_equal_base,clean_correct,clean_total,fault_detection_rate,mean_fault_corrections,mean_clean_corrections
protect_all_linear,,400,165,234,1,0.0025000000,0.0004414478,0.0140232851,4,10,10,0.2550000000,876.692500,866.700000
leave_v_proj_unprotected,v_proj,400,164,233,3,0.0075000000,0.0025538892,0.0218157207,4,10,10,0.2500000000,940.790000,866.700000
leave_k_proj_unprotected,k_proj,400,165,234,1,0.0025000000,0.0004414478,0.0140232851,4,10,10,0.2525000000,876.365000,866.500000
leave_q_proj_unprotected,q_proj,400,165,234,1,0.0025000000,0.0004414478,0.0140232851,4,10,10,0.2450000000,885.640000,866.700000
leave_o_proj_unprotected,o_proj,400,343,56,1,0.0025000000,0.0004414478,0.0140232851,9,10,10,0.2475000000,844.122500,4.300000
leave_up_proj_unprotected,up_proj,400,160,239,1,0.0025000000,0.0004414478,0.0140232851,4,10,10,0.1925000000,967.950000,866.500000
leave_gate_proj_unprotected,gate_proj,400,162,237,1,0.0025000000,0.0004414478,0.0140232851,4,10,10,0.1675000000,979.915000,866.700000
leave_down_proj_unprotected,down_proj,400,156,238,6,0.0150000000,0.0068922919,0.0323346336,4,10,10,0.1825000000,5020.125000,857.600000
